url,type,status_code,indexable,canonical,canonical_matches_self,meta_robots,lastmod,lastmod_source,title,meta_description,h1,category_slug,category_name,og_url,schema_url,issues
https://www.tsurilogue.com/ja,home,200,True,https://www.tsurilogue.com/ja,True,,2026-09-15T00:00:00.000Z,static_fixed,TSURILOGUE（釣りローグ）｜釣果記録・釣りログ・AI分析アプリ,TSURILOGUE（釣りローグ）は、釣果写真、潮位、水温、天候、タックル、ポイントをかんたんに記録し、あとから振り返れる釣果記録・釣りログアプリです。,TSURILOGUE（釣りローグ）｜釣果記録・釣果共有・釣り大会アプリ,,,https://www.tsurilogue.com/ja,,
https://www.tsurilogue.com/ja/about,static,200,True,https://www.tsurilogue.com/ja/about,True,,2026-09-15T00:00:00.000Z,static_fixed,TSURILOGUE（釣りローグ）とは | 釣果記録・釣りログから釣りの未来をつくる,TSURILOGUE（釣りローグ）は、釣果記録、釣りログ、潮位・気象データ、AI分析、グループ共有、オンライン釣り大会を通じて、釣り人の次の一匹と釣り文化の未来を支えるサービスです。,TSURILOGUEとは,,,https://www.tsurilogue.com/ja/about,,
https://www.tsurilogue.com/ja/features,static,200,True,https://www.tsurilogue.com/ja/features,True,,2026-09-15T00:00:00.000Z,static_fixed,機能 | TSURILOGUE（釣りローグ）,TSURILOGUE（釣りローグ）の釣果記録、釣りログ、AI分析、グループ共有、オンライン釣り大会、釣果デジタル証明、ポイント保護機能を紹介します。,記録するほど、 理想の1匹に近づく。,,,https://www.tsurilogue.com/ja/features,,
https://www.tsurilogue.com/ja/pricing,static,200,True,https://www.tsurilogue.com/ja/pricing,True,,2026-09-15T00:00:00.000Z,static_fixed,料金プラン | TSURILOGUE（釣りローグ）,釣果記録・釣りログアプリTSURILOGUE（釣りローグ）で利用できるFree、Premium、Organizer、Group Proプランの機能と料金を確認できます。,プラン,,,https://www.tsurilogue.com/ja/pricing,,
https://www.tsurilogue.com/ja/signup,static,200,True,https://www.tsurilogue.com/ja/signup,True,,2026-09-15T00:00:00.000Z,static_fixed,TSURILOGUEに無料登録して釣果ログを始めよう | 釣りローグ,TSURILOGUE（釣りローグ）に無料登録すると、釣果写真、魚種、サイズ、潮位、天候、タックル、ポイントを記録し、仲間との共有やオンライン釣り大会も楽しめます。,TSURILOGUE に無料登録して 釣果ログを始めよう,,,https://www.tsurilogue.com/ja/signup,https://www.tsurilogue.com/ja/signup,
https://www.tsurilogue.com/ja/install,static,200,True,https://www.tsurilogue.com/ja/install,True,,2026-09-15T00:00:00.000Z,static_fixed,釣りローグをスマホアプリのように使う方法 | TSURILOGUE,TSURILOGUE（釣りローグ）をスマホのホーム画面に追加して、釣り場でも釣果記録・釣りログをすばやく開く方法を案内します。,釣りローグを、 スマホアプリのように使おう。,,,https://www.tsurilogue.com/ja/install,,
https://www.tsurilogue.com/ja/feedback,static,200,True,https://www.tsurilogue.com/ja/feedback,True,,2026-09-15T00:00:00.000Z,static_fixed,ご意見・ご感想 | TSURILOGUE,TSURILOGUEへのご意見、不具合報告、改善要望、追加してほしい機能を送信できます。,確認中,,,https://www.tsurilogue.com/ja/feedback,,
https://www.tsurilogue.com/ja/media,media_index,200,True,https://www.tsurilogue.com/ja/media,True,"index, follow",2026-08-06T05:04:44.000Z,latest_article,TSURILOGUE Media | 釣果記録・釣りログと釣り分析のヒント,釣果記録、釣りログ、潮位、気象、タックル、AI分析を次の一匹につなげるためのTSURILOGUE（釣りローグ）公式メディアです。,TSURILOGUE Media｜釣果記録・釣果共有・釣り大会を楽しむメディア,,,https://www.tsurilogue.com/ja/media,https://www.tsurilogue.com/ja/media,
https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,article,200,True,https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,True,"index, follow",2026-08-06T05:04:44.000Z,article_modified_or_published,TSURILOGUEを始めたら最初にやること｜初回投稿までの流れと釣りログ活用術,TSURILOGUEを使ってみたい。 釣果記録をスマホで始めたい。 釣れた魚を仲間と共有したい。 ランキングやオンライン釣り大会にも参加してみたい。,TSURILOGUEを始めたら最初にやること｜初回投稿までの流れと釣りログ活用術,,,https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,
https://www.tsurilogue.com/ja/media/online-fishing-tournament-rules,article,200,True,https://www.tsurilogue.com/ja/media/online-fishing-tournament-rules,True,"index, follow",2026-08-05T04:59:23.000Z,article_modified_or_published,オンライン釣り大会で失敗しないルール設計｜TSURILOGUEで釣果投稿を楽しく公平に運営する方法,オンライン釣り大会は、スマホを使って気軽に開催できる新しい釣りイベントです。 同じ場所に集まらなくても、それぞれの釣り場で釣りをして、釣れた魚を投稿する。,オンライン釣り大会で失敗しないルール設計｜TSURILOGUEで釣果投稿を楽しく公平に運営する方法,,,https://www.tsurilogue.com/ja/media/online-fishing-tournament-rules,https://www.tsurilogue.com/ja/media/online-fishing-tournament-rules,
https://www.tsurilogue.com/ja/media/fishing-tournament-app-benefits,article,200,True,https://www.tsurilogue.com/ja/media/fishing-tournament-app-benefits,True,"index, follow",2026-08-04T04:58:15.000Z,article_modified_or_published,釣り大会アプリを使うメリット｜集計・ランキング・結果発表をスマホで簡単に,仲間内で釣り大会を開きたい。 釣りチームで月間ランキングを作りたい。 釣具店や遊漁船で釣果投稿イベントを開催したい。,釣り大会アプリを使うメリット｜集計・ランキング・結果発表をスマホで簡単に,,,https://www.tsurilogue.com/ja/media/fishing-tournament-app-benefits,https://www.tsurilogue.com/ja/media/fishing-tournament-app-benefits,
https://www.tsurilogue.com/ja/media/manage-catches-with-fishing-friends,article,200,True,https://www.tsurilogue.com/ja/media/manage-catches-with-fishing-friends,True,"index, follow",2026-08-03T04:52:20.000Z,article_modified_or_published,仲間内の釣果管理を簡単にする方法｜TSURILOGUEで釣果共有をグループの記録に変えよう,釣り仲間と一緒に釣りを楽しんでいると、釣果共有は自然に増えていきます。 「今日チヌ釣れました！」「シーバス出ました！,仲間内の釣果管理を簡単にする方法｜TSURILOGUEで釣果共有をグループの記録に変えよう,,,https://www.tsurilogue.com/ja/media/manage-catches-with-fishing-friends,https://www.tsurilogue.com/ja/media/manage-catches-with-fishing-friends,
https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,article,200,True,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,True,"index, follow",2026-08-01T04:52:06.000Z,article_modified_or_published,釣果共有アプリでできること｜LINE・SNSとの違いとTSURILOGUEの活用方法,魚が釣れたら、誰かに見せたくなる。 釣り人なら、この気持ちはとても自然なものだと思います。 大きな魚が釣れた。初めての魚が釣れた。,釣果共有アプリでできること｜LINE・SNSとの違いとTSURILOGUEの活用方法,,,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,
https://www.tsurilogue.com/ja/media/catch-log-app-comparison,article,200,True,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,True,"index, follow",2026-07-31T06:37:49.000Z,article_modified_or_published,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,釣果ログ・釣果投稿アプリの選び方を解説。,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,,,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,
https://www.tsurilogue.com/ja/media/save-fishing-log-before-sns-post,article,200,True,https://www.tsurilogue.com/ja/media/save-fishing-log-before-sns-post,True,"index, follow",2026-07-31T04:48:12.000Z,article_modified_or_published,釣りログをSNSに投稿する前に残しておきたいこと｜TSURILOGUEで釣果写真を「流れる投稿」から「残る記録」へ,魚が釣れたら、SNSに投稿したくなる。 これは、釣り人なら自然なことだと思います。 大きな魚が釣れた。初めての魚が釣れた。,釣りログをSNSに投稿する前に残しておきたいこと｜TSURILOGUEで釣果写真を「流れる投稿」から「残る記録」へ,,,https://www.tsurilogue.com/ja/media/save-fishing-log-before-sns-post,https://www.tsurilogue.com/ja/media/save-fishing-log-before-sns-post,
https://www.tsurilogue.com/ja/media/fishing-trip-memo-smartphone,article,200,True,https://www.tsurilogue.com/ja/media/fishing-trip-memo-smartphone,True,"index, follow",2026-07-30T04:43:30.000Z,article_modified_or_published,スマホで釣行メモを残すメリット｜紙の釣りノートとの違いとTSURILOGUE活用術,釣りが好きな人ほど、釣行後に「今日の釣りを残しておきたい」と感じる瞬間があると思います。 どんな魚が釣れたのか。,スマホで釣行メモを残すメリット｜紙の釣りノートとの違いとTSURILOGUE活用術,,,https://www.tsurilogue.com/ja/media/fishing-trip-memo-smartphone,https://www.tsurilogue.com/ja/media/fishing-trip-memo-smartphone,
https://www.tsurilogue.com/ja/media/fishing-diary-vs-catch-record,article,200,True,https://www.tsurilogue.com/ja/media/fishing-diary-vs-catch-record,True,"index, follow",2026-07-29T04:39:53.000Z,article_modified_or_published,釣り日記と釣果記録の違い｜思い出と上達に活かす釣りログの残し方,釣りに行った日のことを、あとから見返せるように残しておきたい。 そんなときに使われる言葉として、「釣り日記」「釣果記録」「釣りログ」があります。,釣り日記と釣果記録の違い｜思い出と上達に活かす釣りログの残し方,,,https://www.tsurilogue.com/ja/media/fishing-diary-vs-catch-record,https://www.tsurilogue.com/ja/media/fishing-diary-vs-catch-record,
https://www.tsurilogue.com/ja/media/free-catch-record-app-tsurilogue,article,200,True,https://www.tsurilogue.com/ja/media/free-catch-record-app-tsurilogue,True,"index, follow",2026-07-28T04:31:20.000Z,article_modified_or_published,無料で使える釣果記録アプリを探している人へ｜TSURILOGUEで始める新しい釣りログ習慣,釣果をスマホで記録したい。 釣れた魚の写真を残したい。 釣行メモを後から見返せるようにしたい。 仲間と釣果を共有したい。 できれば、まずは無料で気軽に始めたい。,無料で使える釣果記録アプリを探している人へ｜TSURILOGUEで始める新しい釣りログ習慣,,,https://www.tsurilogue.com/ja/media/free-catch-record-app-tsurilogue,https://www.tsurilogue.com/ja/media/free-catch-record-app-tsurilogue,
https://www.tsurilogue.com/ja/media/how-to-choose-catch-record-app,article,200,True,https://www.tsurilogue.com/ja/media/how-to-choose-catch-record-app,True,"index, follow",2026-07-27T04:23:19.000Z,article_modified_or_published,釣果記録アプリは何を基準に選ぶ？初心者向け比較ポイント｜TSURILOGUEで始める釣りログ習慣,釣りを続けていると、だんだん釣果を記録したくなる瞬間が増えてきます。 初めて釣った魚。自己記録を更新した一匹。仲間と一緒に釣れた魚。,釣果記録アプリは何を基準に選ぶ？初心者向け比較ポイント｜TSURILOGUEで始める釣りログ習慣,,,https://www.tsurilogue.com/ja/media/how-to-choose-catch-record-app,https://www.tsurilogue.com/ja/media/how-to-choose-catch-record-app,
https://www.tsurilogue.com/ja/media/enjoy-fishing-with-tsurilogue,article,200,True,https://www.tsurilogue.com/ja/media/enjoy-fishing-with-tsurilogue,True,"index, follow",2026-07-25T12:49:12.000Z,article_modified_or_published,TSURILOGUEで釣りをもっと楽しく続ける方法｜釣果記録・共有・大会で広がる新しい釣りログ習慣,釣りは、長く続けるほど面白くなる趣味です。 初めて魚が釣れた日の嬉しさ。狙って釣れた一匹の達成感。仲間と一緒に盛り上がった釣行。,TSURILOGUEで釣りをもっと楽しく続ける方法｜釣果記録・共有・大会で広がる新しい釣りログ習慣,,,https://www.tsurilogue.com/ja/media/enjoy-fishing-with-tsurilogue,https://www.tsurilogue.com/ja/media/enjoy-fishing-with-tsurilogue,
https://www.tsurilogue.com/ja/media/fishing-shop-catch-post-event,article,200,True,https://www.tsurilogue.com/ja/media/fishing-shop-catch-post-event,True,"index, follow",2026-07-24T12:43:23.000Z,article_modified_or_published,釣具店イベントに釣果投稿を活用する方法｜TSURILOGUEで来店促進・常連化・地域コミュニティを作ろう,釣具店にとって、イベントはお客様との関係を深める大切なきっかけです。 新製品の展示会。メーカーイベント。釣り大会。,釣具店イベントに釣果投稿を活用する方法｜TSURILOGUEで来店促進・常連化・地域コミュニティを作ろう,,,https://www.tsurilogue.com/ja/media/fishing-shop-catch-post-event,https://www.tsurilogue.com/ja/media/fishing-shop-catch-post-event,
https://www.tsurilogue.com/ja/media/charter-boat-catch-log,article,200,True,https://www.tsurilogue.com/ja/media/charter-boat-catch-log,True,"index, follow",2026-07-23T12:37:07.000Z,article_modified_or_published,遊漁船・船長が釣果ログを残すべき理由｜TSURILOGUEで釣果投稿を集客とリピーターづくりに活かそう,遊漁船にとって、釣果情報はとても重要です。 今日は何が釣れたのか。どんなサイズが出たのか。どの魚種が好調なのか。,遊漁船・船長が釣果ログを残すべき理由｜TSURILOGUEで釣果投稿を集客とリピーターづくりに活かそう,,,https://www.tsurilogue.com/ja/media/charter-boat-catch-log,https://www.tsurilogue.com/ja/media/charter-boat-catch-log,
https://www.tsurilogue.com/ja/media/fishing-team-activity-log,article,200,True,https://www.tsurilogue.com/ja/media/fishing-team-activity-log,True,"index, follow",2026-07-22T12:17:03.000Z,article_modified_or_published,釣りチームの活動記録にTSURILOGUEを使うメリット｜仲間内の釣果を残してもっと楽しく共有しよう,釣りは一人でも楽しめる趣味です。 しかし、チームやサークル、仲間内のグループで楽しむ釣りには、一人では味わえない魅力があります。,釣りチームの活動記録にTSURILOGUEを使うメリット｜仲間内の釣果を残してもっと楽しく共有しよう,,,https://www.tsurilogue.com/ja/media/fishing-team-activity-log,https://www.tsurilogue.com/ja/media/fishing-team-activity-log,
https://www.tsurilogue.com/ja/media/fishing-tournament-results-announcement,article,200,True,https://www.tsurilogue.com/ja/media/fishing-tournament-results-announcement,True,"index, follow",2026-07-21T12:09:50.000Z,article_modified_or_published,釣り大会の結果発表を盛り上げる方法｜TSURILOGUEで次回も参加したくなるイベントにしよう,釣り大会は、釣って終わりではありません。 大会期間中に釣果を投稿する。仲間の釣果を見る。ランキングを追いかける。,釣り大会の結果発表を盛り上げる方法｜TSURILOGUEで次回も参加したくなるイベントにしよう,,,https://www.tsurilogue.com/ja/media/fishing-tournament-results-announcement,https://www.tsurilogue.com/ja/media/fishing-tournament-results-announcement,
https://www.tsurilogue.com/ja/media/beginner-friendly-fishing-tournament,article,200,True,https://www.tsurilogue.com/ja/media/beginner-friendly-fishing-tournament,True,"index, follow",2026-07-19T12:01:43.000Z,article_modified_or_published,初心者でも参加しやすい釣り大会の作り方｜TSURILOGUEで気軽に楽しむオンライン釣りイベント,釣り大会と聞くと、少しハードルが高く感じる人もいるかもしれません。 上手な人だけが参加するもの。大きな魚を釣らないと意味がないもの。,初心者でも参加しやすい釣り大会の作り方｜TSURILOGUEで気軽に楽しむオンライン釣りイベント,,,https://www.tsurilogue.com/ja/media/beginner-friendly-fishing-tournament,https://www.tsurilogue.com/ja/media/beginner-friendly-fishing-tournament,
