url,title,cluster,primary_keyword,search_intent,parent_url,title_similarity,heading_similarity,body_similarity,intent_similarity,classification,destination_url,recommended_action,risk,notes
https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,TSURILOGUEを始めたら最初にやること｜初回投稿までの流れと釣りログ活用術,TSURILOGUEの使い方・事業者向け,釣りログ,使い方,https://www.tsurilogue.com/ja/media/how-to-start-tsurilogue-first-post,0.200,0.069,0.061,0.650,KEEP,,親記事または独自意図記事として維持。,LOW,GSC_DATA_REQUIRED; max_similar=fishing-log-checklist
https://www.tsurilogue.com/ja/media/online-fishing-tournament-rules,オンライン釣り大会で失敗しないルール設計｜TSURILOGUEで釣果投稿を楽しく公平に運営する方法,釣り大会・オンライン釣り大会,オンライン釣り大会,使い方,https://www.tsurilogue.com/ja/media/online-fishing-tournament,0.324,0.140,0.064,1.000,SUPPORT,,親記事を補強する小記事として維持し、親記事への内部リンクを維持。,LOW,GSC_DATA_REQUIRED; max_similar=online-fishing-tournament-tsurilogue
https://www.tsurilogue.com/ja/media/fishing-tournament-app-benefits,釣り大会アプリを使うメリット｜集計・ランキング・結果発表をスマホで簡単に,釣り大会・オンライン釣り大会,釣り大会アプリ,大会運営,https://www.tsurilogue.com/ja/media/online-fishing-tournament,0.207,0.074,0.048,0.700,MERGE,https://www.tsurilogue.com/ja/media/online-fishing-tournament,統合先へ独自見出し・事例を移植する候補。301は未実施。,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。,GSC_DATA_REQUIRED; max_similar=fishing-tournament-app
https://www.tsurilogue.com/ja/media/manage-catches-with-fishing-friends,仲間内の釣果管理を簡単にする方法｜TSURILOGUEで釣果共有をグループの記録に変えよう,釣果共有,釣果共有,使い方,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,0.361,0.060,0.047,1.000,SUPPORT,,親記事を補強する小記事として維持し、親記事への内部リンクを維持。,LOW,GSC_DATA_REQUIRED; max_similar=group-catch-management
https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,釣果共有アプリでできること｜LINE・SNSとの違いとTSURILOGUEの活用方法,釣果共有,釣果共有アプリ,使い方,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,0.258,0.058,0.051,0.800,KEEP,,親記事または独自意図記事として維持。,LOW,GSC_DATA_REQUIRED; max_similar=catch-sharing-app
https://www.tsurilogue.com/ja/media/catch-log-app-comparison,【2026年版】釣果ログ・釣果投稿アプリの選び方｜記録・共有・大会で使えるサービスを比較,釣果ログ・釣果記録,釣果投稿アプリ,比較,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,0.164,0.114,0.046,0.550,KEEP,,親記事または独自意図記事として維持。,LOW,GSC_DATA_REQUIRED; max_similar=hello-tsurilogue
https://www.tsurilogue.com/ja/media/save-fishing-log-before-sns-post,釣りログをSNSに投稿する前に残しておきたいこと｜TSURILOGUEで釣果写真を「流れる投稿」から「残る記録」へ,釣果共有,釣りログ,サービス紹介,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,0.212,0.051,0.045,1.000,SUPPORT,,親記事を補強する小記事として維持し、親記事への内部リンクを維持。,LOW,GSC_DATA_REQUIRED; max_similar=kiroku-kyouyu
https://www.tsurilogue.com/ja/media/fishing-trip-memo-smartphone,スマホで釣行メモを残すメリット｜紙の釣りノートとの違いとTSURILOGUE活用術,釣果共有,釣行メモ,サービス紹介,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,0.234,0.051,0.048,0.700,MERGE,https://www.tsurilogue.com/ja/media/fishing-catch-memo-smartphone,統合先へ独自見出し・事例を移植する候補。301は未実施。,MEDIUM: 本文統合作業が必要。重複削除と内部リンク移行を要確認。,GSC_DATA_REQUIRED; max_similar=benefits-of-catch-log
https://www.tsurilogue.com/ja/media/fishing-diary-vs-catch-record,釣り日記と釣果記録の違い｜思い出と上達に活かす釣りログの残し方,釣果ログ・釣果記録,釣りログ,使い方,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,0.163,0.037,0.051,1.000,REWRITE,,URLは残し、title/H1/descriptionや導入文で検索意図を差別化する候補。,LOW-MEDIUM: URL維持で安全だが、WP側本文リライトが必要。,GSC_DATA_REQUIRED; max_similar=catch-log-template
https://www.tsurilogue.com/ja/media/free-catch-record-app-tsurilogue,無料で使える釣果記録アプリを探している人へ｜TSURILOGUEで始める新しい釣りログ習慣,釣果共有,釣果記録アプリ,サービス紹介,https://www.tsurilogue.com/ja/media/catch-sharing-app-line-sns-difference,0.518,0.030,0.059,1.000,REDIRECT,https://www.tsurilogue.com/ja/media/catch-log-app-comparison,統合完了後に301候補。現時点では実行しない。,HIGH: GSCデータ確認後に判断。既存流入があれば統合慎重。,GSC_DATA_REQUIRED; max_similar=catch-record-app-tsurilogue
